Date,Windspeed,Precipitation,Snowfall,Temperature_Max,Temperature_Min
2018-01-07,60.72,0.07,0.06,31.36,21.02
2018-01-14,65.83,0.01,0.0,26.7,14.46
2018-01-21,43.14,0.0,0.0,29.09,19.27
2018-01-28,79.57,0.04,0.11,17.47,6.62
2018-02-04,86.6,0.0,0.0,21.02,4.31
2018-02-11,40.9,0.07,0.08,24.34,7.75
2018-02-18,43.46,0.05,0.05,29.99,18.83
2018-02-25,38.35,0.12,0.13,27.35,17.16
2018-03-04,64.55,0.11,0.13,24.9,11.76
2018-03-11,56.88,0.04,0.08,29.58,18.32
2018-03-18,42.82,0.03,0.04,38.71,26.68
2018-03-25,79.57,0.03,0.0,37.3,20.48
2018-04-01,48.26,0.0,0.01,38.43,25.47
2018-04-08,66.15,0.0,0.0,40.74,24.75
2018-04-15,45.7,0.0,0.0,50.85,33.31
2018-04-22,67.75,0.01,0.0,48.38,33.08
2018-04-29,144.76,0.03,0.0,48.3,37.04
2018-05-06,121.75,0.01,0.0,49.15,38.84
2018-05-13,85.64,0.0,0.0,55.55,39.3
2018-05-20,76.38,0.02,0.0,53.73,42.44
2018-05-27,104.5,0.0,0.0,58.69,44.29
2018-06-03,91.71,0.0,0.0,62.7,46.58
2018-06-10,58.48,0.02,0.0,63.29,45.14
2018-06-17,107.37,0.11,0.0,63.42,48.97
2018-06-24,82.76,0.02,0.0,62.96,52.16
2018-07-01,83.73,0.0,0.0,65.71,51.44
2018-07-08,84.37,0.0,0.0,74.71,56.15
2018-07-15,73.18,0.08,0.0,63.76,51.57
2018-07-22,55.6,0.01,0.0,69.16,50.87
2018-07-29,41.86,0.13,0.0,67.56,56.27
2018-08-05,76.38,0.07,0.0,70.01,56.69
2018-08-12,89.48,0.15,0.0,66.89,54.17
2018-08-19,64.55,0.08,0.0,60.41,51.16
2018-08-26,58.16,0.23,0.0,60.44,52.91
2018-09-02,64.55,0.0,0.0,64.58,48.15
2018-09-09,43.78,0.0,0.0,66.41,45.96
2018-09-16,44.42,0.0,0.0,66.84,46.14
2018-09-23,57.84,0.07,0.0,60.85,49.74
2018-09-30,48.57,0.05,0.0,59.05,44.7
2018-10-07,31.0,0.05,0.0,53.88,43.6
2018-10-14,75.1,0.16,0.0,52.7,42.85
2018-10-21,103.54,0.13,0.0,51.98,43.6
2018-10-28,69.98,0.06,0.0,49.02,36.29
2018-11-04,53.69,0.0,0.01,32.75,19.14
2018-11-11,60.08,0.13,0.03,35.03,24.05
2018-11-18,44.74,0.02,0.0,36.58,29.94
2018-11-25,42.5,0.01,0.01,33.05,25.16
2018-12-02,46.34,0.08,0.04,38.15,29.4
2018-12-09,57.2,0.07,0.03,34.6,27.45
2018-12-16,73.18,0.14,0.27,26.45,18.89
2018-12-23,53.37,0.04,0.05,24.59,16.75
2018-12-30,56.24,0.07,0.11,29.12,18.32
2019-01-06,73.18,0.01,0.01,27.83,14.59
2019-01-13,58.48,0.0,0.0,16.06,1.89
2019-01-20,27.48,0.0,0.0,23.31,11.48
2019-01-27,67.43,0.01,0.0,36.47,25.29
2019-02-03,42.82,0.11,0.09,28.22,20.45
2019-02-10,35.15,0.02,0.04,29.43,22.2
2019-02-17,66.47,0.06,0.06,28.09,12.02
2019-02-24,44.74,0.04,0.06,28.68,13.61
2019-03-03,18.53,0.0,0.0,29.69,10.19
2019-03-10,57.52,0.0,0.0,36.73,26.45
2019-03-17,90.76,0.0,0.0,41.57,31.51
2019-03-24,84.05,0.0,0.0,45.42,34.75
2019-03-31,37.39,0.0,0.0,48.71,31.2
2019-04-07,69.03,0.0,0.0,46.86,29.56
2019-04-14,74.78,0.01,0.0,50.72,33.52
2019-04-21,77.97,0.07,0.06,44.32,33.31
2019-04-28,58.48,0.04,0.06,47.74,30.02
2019-05-05,58.48,0.05,0.0,54.45,39.59
2019-05-12,105.78,0.14,0.0,54.73,41.15
2019-05-19,61.99,0.01,0.0,58.38,40.85
2019-05-26,68.07,0.14,0.0,59.05,44.99
2019-06-02,82.45,0.01,0.0,60.85,48.84
2019-06-09,62.95,0.0,0.0,66.71,49.69
2019-06-16,85.64,0.01,0.0,68.0,51.59
2019-06-23,63.27,0.0,0.0,69.18,50.87
2019-06-30,51.13,0.0,0.0,75.56,55.99
2019-07-07,46.34,0.0,0.0,81.55,58.41
2019-07-14,55.6,0.01,0.0,69.98,59.41
2019-07-21,69.35,0.0,0.0,73.71,56.87
2019-07-28,61.99,0.1,0.0,68.39,56.81
2019-08-04,55.28,0.0,0.0,69.98,55.58
2019-08-11,51.45,0.0,0.0,75.69,57.97
2019-08-18,88.52,0.0,0.0,75.15,58.28
2019-08-25,56.88,0.0,0.0,67.31,47.58
2019-09-01,61.04,0.01,0.0,67.72,49.9
2019-09-08,63.59,0.1,0.0,63.71,50.57
2019-09-15,50.81,0.09,0.0,61.6,51.31
2019-09-22,64.87,0.24,0.0,57.61,46.68
2019-09-29,48.89,0.1,0.0,51.72,36.71
2019-10-06,76.37,0.03,0.0,51.72,38.17
2019-10-13,88.2,0.14,0.0,47.69,35.52
2019-10-20,55.92,0.03,0.0,43.03,32.23
2019-10-27,73.82,0.07,0.0,46.71,36.55
2019-11-03,86.6,0.06,0.0,46.86,40.56
2019-11-10,55.28,0.02,0.0,40.85,34.91
2019-11-17,68.07,0.12,0.12,38.71,31.1
2019-11-24,96.83,0.07,0.03,41.69,31.31
2019-12-01,78.61,0.05,0.03,36.47,25.39
2019-12-08,68.07,0.04,0.08,30.41,20.2
2019-12-15,54.96,0.01,0.0,39.89,28.76
2019-12-22,37.71,0.0,0.0,23.69,13.31
2019-12-29,85.32,0.05,0.13,23.03,11.43
2020-01-05,71.26,0.06,0.15,20.25,5.62
2020-01-12,28.12,0.01,0.01,3.89,-8.96
2020-01-19,49.53,0.0,0.0,14.9,-0.27
2020-01-26,70.62,0.06,0.11,16.16,5.0
2020-02-02,76.38,0.0,0.0,19.61,3.46
2020-02-09,77.97,0.02,0.02,34.03,24.16
2020-02-16,69.66,0.02,0.03,20.87,6.31
2020-02-23,75.42,0.17,0.22,29.27,15.59
2020-03-01,60.72,0.05,0.08,23.36,6.03
2020-03-08,87.56,0.07,0.11,21.17,7.47
2020-03-15,40.26,0.01,0.01,24.93,4.77
2020-03-22,43.14,0.08,0.05,34.47,22.33
2020-03-29,72.86,0.0,0.0,36.78,20.92
2020-04-05,60.08,0.06,0.07,35.88,21.17
2020-04-12,75.74,0.02,0.0,34.44,21.74
2020-04-19,40.9,0.02,0.0,46.27,34.88
2020-04-26,57.2,0.02,0.0,50.0,35.14
2020-05-03,64.55,0.01,0.0,54.29,32.21
2020-05-10,72.22,0.0,0.0,60.34,39.17
2020-05-17,62.32,0.0,0.0,59.75,40.69
2020-05-24,66.15,0.08,0.0,56.43,44.42
2020-05-31,69.99,0.01,0.0,62.55,43.57
2020-06-07,81.81,0.01,0.0,63.27,46.25
2020-06-14,63.59,0.04,0.0,62.55,45.01
2020-06-21,88.84,0.03,0.0,63.83,50.72
2020-06-28,100.66,0.03,0.0,62.16,50.0
2020-07-05,58.16,0.0,0.0,70.01,51.57
2020-07-12,68.07,0.13,0.0,65.27,53.42
2020-07-19,74.46,0.02,0.0,69.7,53.7
2020-07-26,66.15,0.08,0.0,66.74,53.14
2020-08-02,73.18,0.07,0.0,68.46,54.86
2020-08-09,76.38,0.1,0.0,67.1,53.29
2020-08-16,59.44,0.01,0.0,68.31,52.44
2020-08-23,61.99,0.02,0.0,67.0,52.83
2020-08-30,51.77,0.19,0.0,60.72,49.0
2020-09-06,76.7,0.2,0.0,59.15,46.86
2020-09-13,72.54,0.0,0.0,58.72,41.85
2020-09-20,79.89,0.07,0.0,56.56,45.83
2020-09-27,46.65,0.03,0.0,54.58,43.6
